Scenario,Doctor,Nurse,Assistant,Specialist,Patient,baseline_run_id,replicate_column,FS_wait_total,baseline_variant,ga_replications_n,ga_ci95,sample_id,target_patients_24h,generated_patients_ga,served_24h_ga,served_24h_rate,served_share_generated_pct,served_share_target_pct,backlog_vs_generated,backlog_vs_target,completion_time_max_min,horizon_min,schedule_feasible_24h_target,missing_first_wait_rows,ga_wait_all_finished,ga_lambda_fixed_row,ga_feasible_fixed_row,baseline_source_subdir
Scenario 53,3,3,1,1,12.6,1,1,1295.832704308071,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,2,2,1417.052499835915,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,3,3,1436.348697248195,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,4,4,1407.233631765061,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,5,5,1325.89017667981,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,6,6,1375.27101390691,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,7,7,1406.839407618941,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,8,8,1324.564796774878,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,9,9,1347.067273086722,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 53,3,3,1,1,12.6,10,10,1330.015955864999,assistant_1,0,0.0,61,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3648.823216106418,1440.0,False,0,58640.40392373004,0.7069747240623654,False,combinatorics
Scenario 54,3,3,2,1,12.6,1,1,1295.832704308071,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,2,2,1417.052499835915,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,3,3,1436.348697248195,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,4,4,1335.715323307275,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,5,5,1325.89017667981,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,6,6,1375.27101390691,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,7,7,1406.839407618941,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,8,8,1324.564796774878,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,9,9,1351.69024576471,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
Scenario 54,3,3,2,1,12.6,10,10,1335.414462400088,assistant_2,0,0.0,64,36,35,6,0.25,17.142857142857142,16.666666666666668,29,30,3907.374328841991,1440.0,False,0,61568.31174372237,0.6923315241624288,True,combinatorics
