scenario,run_mode,sample_id,Doctor,Nurse,Assistant,Specialist,wmax,cost,wait,mu_cost,mu_wait,lambda,feasible,triage_violation,ga_time_s
expected,combinatorics,84,4,2,2,3,200000.0,2000.0,12045.048409473546,0.9389140271493213,0.9400097603927304,0.9389140271493213,True,0.0,152.35114455223083
expected,combinatorics,102,5,1,2,3,200000.0,2100.0,12768.373312023423,0.9343891402714932,0.9363922314977574,0.9343891402714932,True,0.0,158.35829615592957
expected,combinatorics,96,4,4,2,3,200000.0,2200.0,13448.727878626449,0.9298642533936652,0.93298960800887,0.9298642533936652,True,0.0,150.91348600387573
expected,combinatorics,108,5,2,2,3,200000.0,2200.0,14069.644945557455,0.9298642533936652,0.9298842463337962,0.9298642533936652,True,0.0,177.17864894866943
expected,combinatorics,90,4,3,2,3,200000.0,2100.0,14483.361381770177,0.9343891402714932,0.9278151468778686,0.9278151468778686,True,0.0,152.385183095932
expected,combinatorics,107,5,2,2,2,200000.0,1900.0,14536.539879747756,0.9434389140271493,0.9275491878982358,0.9275491878982358,True,0.0,157.9404046535492
expected,combinatorics,114,5,3,2,3,200000.0,2300.0,14952.967641750762,0.9253393665158371,0.9254665284233521,0.9253393665158371,True,0.0,163.17263412475586
expected,combinatorics,66,3,3,2,3,200000.0,1900.0,15240.757314424827,0.9434389140271493,0.9240272202329342,0.9240272202329342,True,0.0,151.02396202087402
expected,combinatorics,60,3,2,2,3,200000.0,1800.0,15254.628532942364,0.9479638009049773,0.9239578467969874,0.9239578467969874,True,0.0,154.66405272483826
expected,combinatorics,126,6,1,2,3,200000.0,2300.0,15290.321886142861,0.9253393665158371,0.9237793354031365,0.9237793354031365,True,0.0,158.034095287323
expected,combinatorics,120,5,4,2,3,200000.0,2400.0,15634.204797643146,0.920814479638009,0.9220594908845053,0.920814479638009,True,0.0,155.33160209655762
expected,combinatorics,132,6,2,2,3,200000.0,2400.0,15231.649262073159,0.920814479638009,0.9240727718826048,0.920814479638009,True,0.0,167.36009883880615
expected,combinatorics,72,3,4,2,3,200000.0,2000.0,16523.709100375454,0.9389140271493213,0.9176108572124259,0.9176108572124259,True,0.0,151.01085233688354
expected,combinatorics,113,5,3,2,2,200000.0,2000.0,16669.991001220147,0.9389140271493213,0.9168792648101017,0.9168792648101017,True,0.0,169.5601453781128
expected,combinatorics,83,4,2,2,2,200000.0,1700.0,16735.969974001182,0.9524886877828054,0.9165492874518572,0.9165492874518572,True,0.0,153.07439136505127
expected,combinatorics,138,6,3,2,3,200000.0,2500.0,16318.275927916035,0.916289592760181,0.9186382799304025,0.916289592760181,True,0.0,157.5927813053131
expected,combinatorics,78,4,1,2,3,200000.0,1900.0,17205.971707695557,0.9434389140271493,0.9141986911343057,0.9141986911343057,True,0.0,152.08844113349915
expected,combinatorics,131,6,2,2,2,200000.0,2100.0,17317.216886507726,0.9343891402714932,0.9136423261489987,0.9136423261489987,True,0.0,167.3570635318756
expected,combinatorics,144,6,4,2,3,200000.0,2600.0,17349.175190357975,0.9117647058823529,0.913482494671878,0.9117647058823529,True,0.0,166.1030306816101
expected,combinatorics,59,3,2,2,2,200000.0,1500.0,19198.19476504184,0.9615384615384616,0.9042350849460273,0.9042350849460273,True,0.0,167.32657408714294
expected,combinatorics,65,3,3,2,2,200000.0,1600.0,19839.23247911657,0.9570135746606335,0.9010290948781368,0.9010290948781368,True,0.0,151.33148574829102
expected,combinatorics,95,4,4,2,2,200000.0,1900.0,19970.356740343515,0.9434389140271493,0.900373309625689,0.900373309625689,True,0.0,154.16263103485107
expected,combinatorics,53,3,1,2,2,200000.0,1400.0,20306.55694381689,0.9660633484162896,0.8986918882529787,0.8986918882529787,True,0.0,169.93383264541626
expected,combinatorics,143,6,4,2,2,200000.0,2300.0,20803.61087684562,0.9253393665158371,0.8962059971150506,0.8962059971150506,True,0.0,165.54673886299133
expected,combinatorics,119,5,4,2,2,200000.0,2100.0,20870.435083404263,0.9343891402714932,0.8958717925311114,0.8958717925311114,True,0.0,163.7411117553711
expected,combinatorics,135,6,3,1,3,200000.0,2450.0,21019.74805379839,0.918552036199095,0.8951250409912559,0.8951250409912559,True,0.0,168.94022703170776
expected,combinatorics,89,4,3,2,2,200000.0,1800.0,21151.125048788734,0.9479638009049773,0.8944679917539948,0.8944679917539948,True,0.0,152.65435433387756
